11,11,21,10,11,28,

0,1D,3,0,0,
1,1A,5,0,0,
2,2D,3,3,0,
3,6A,9,2,2,
4,6D,9,2,2,
5,5D,9,6,2,
6,8A,7,2,4,
7,3D,5,8,0,
8,4D,5,10,0,
9,9D,4,4,4,
10,11A,7,2,7,
11,12D,4,8,7,
12,13A,3,0,8,
13,13D,3,0,8,
14,16A,7,2,9,
15,17A,3,0,10,
16,14A,3,8,8,
17,18A,3,8,10,
18,15D,3,10,8,
19,10A,3,0,6,
20,7D,3,0,4,

0,0,1,0,
1,3,2,0,
2,2,3,1,
3,0,4,0,
3,4,5,1,
3,6,7,2,
3,8,8,2,
4,2,6,0,
4,4,19,2,
4,5,10,0,
4,6,12,2,
4,7,14,0,
4,8,15,2,
5,3,6,4,
5,6,10,4,
5,8,14,4,
6,2,9,0,
6,6,7,4,
9,3,10,2,
10,6,11,0,
11,1,16,0,
11,2,14,6,
11,3,17,0,
12,0,13,0,
13,2,15,0,
16,2,18,0,
17,2,18,2,
19,2,20,0,
